"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 03, 2021","6.92","6.99","7.01","6.86","18.84M","-1.84%"
"Feb 02, 2021","7.05","6.85","7.07","6.80","100.20M","4.60%"
"Jan 29, 2021","6.74","7.05","7.12","6.56","161.62M","8.53%"
"Jan 27, 2021","6.21","6.25","6.28","6.14","17.82M","0.16%"
"Jan 26, 2021","6.20","6.49","6.51","6.18","35.66M","-4.91%"
"Jan 25, 2021","6.52","6.35","6.58","6.32","54.11M","4.32%"
"Jan 22, 2021","6.25","6.11","6.37","6.06","47.66M","3.82%"
"Jan 21, 2021","6.02","6.20","6.25","6.01","29.13M","-1.95%"
"Jan 20, 2021","6.14","6.16","6.28","6.09","21.81M","0.16%"
"Jan 19, 2021","6.13","6.30","6.37","6.10","25.39M","-3.31%"
"Jan 18, 2021","6.34","6.40","6.47","6.33","12.88M","-1.25%"
"Jan 15, 2021","6.42","6.37","6.54","6.25","22.78M","0.78%"
"Jan 14, 2021","6.37","6.51","6.60","6.32","45.00M","-3.92%"
"Jan 13, 2021","6.63","6.70","6.77","6.54","41.71M","-0.75%"
"Jan 12, 2021","6.68","6.55","6.73","6.26","74.79M","3.89%"
"Jan 11, 2021","6.43","6.60","6.77","6.24","98.39M","-1.08%"
"Jan 08, 2021","6.50","5.86","6.50","5.81","147.65M","12.07%"
"Jan 07, 2021","5.80","5.80","5.90","5.71","96.78M","0.69%"
"Jan 06, 2021","5.76","5.80","5.84","5.65","48.58M","0.70%"
"Jan 05, 2021","5.72","5.57","5.76","5.52","84.05M","4.00%"
"Jan 04, 2021","5.50","6.10","6.11","5.23","347.87M","-10.13%"
"Dec 31, 2020","6.12","6.15","6.16","6.01","20.53M","0.00%"
"Dec 30, 2020","6.12","6.20","6.23","6.08","26.90M","1.83%"
"Dec 29, 2020","6.01","6.28","6.28","6.00","41.96M","-3.99%"
"Dec 28, 2020","6.26","6.47","6.49","6.22","24.35M","-3.54%"
"Dec 24, 2020","6.49","6.58","6.59","6.48","15.08M","-3.57%"
"Dec 23, 2020","6.73","6.73","6.76","6.67","19.58M","0.60%"
"Dec 22, 2020","6.69","6.68","6.78","6.62","36.84M","1.06%"
"Dec 21, 2020","6.62","6.65","6.75","6.56","17.90M","-0.30%"
"Dec 18, 2020","6.64","6.75","6.75","6.58","36.99M","-0.90%"
"Dec 17, 2020","6.70","6.83","6.84","6.62","20.71M","-1.03%"
"Dec 16, 2020","6.77","6.53","6.80","6.50","39.49M","5.62%"
"Dec 15, 2020","6.41","6.40","6.49","6.30","35.67M","1.75%"
"Dec 14, 2020","6.30","6.64","6.66","6.25","84.18M","-8.70%"
"Dec 11, 2020","6.90","7.05","7.05","6.80","43.68M","-1.29%"
"Dec 10, 2020","6.99","6.94","7.05","6.91","44.57M","2.19%"
"Dec 09, 2020","6.84","7.10","7.20","6.80","93.82M","-3.53%"
"Dec 08, 2020","7.09","6.66","7.11","6.65","85.25M","7.42%"
"Dec 07, 2020","6.60","6.68","6.71","6.60","29.15M","-0.75%"
"Dec 04, 2020","6.65","6.80","6.83","6.61","41.62M","-1.92%"
