Date,Price,Open,High,Low,Vol.,Change %
2010-01-04,0.42,0.42,0.42,0.42,1.89M,0.00%
2010-01-05,0.42,0.42,0.42,0.42,19.59M,0.00%
2010-01-06,0.43,0.42,0.43,0.42,20.91M,2.38%
2010-01-07,0.43,0.43,0.44,0.43,41.72M,0.00%
2010-01-08,0.44,0.44,0.44,0.44,9.09M,2.33%
2010-01-09,0.44,0.44,0.44,0.44,9.09M,2.33%
2010-01-10,0.44,0.44,0.44,0.44,9.09M,2.33%
2010-01-11,0.45,0.44,0.45,0.44,16.82M,2.27%
2010-01-12,0.45,0.45,0.46,0.45,39.80M,0.00%
2010-01-13,0.47,0.46,0.47,0.45,44.91M,4.44%
2010-01-14,0.49,0.47,0.5,0.47,51.94M,4.26%
2010-01-15,0.47,0.49,0.49,0.47,48.05M,-4.08%
2010-01-16,0.47,0.49,0.49,0.47,48.05M,-4.08%
2010-01-17,0.47,0.49,0.49,0.47,48.05M,-4.08%
2010-01-18,0.47,0.47,0.48,0.46,17.10M,0.00%
2010-01-19,0.47,0.48,0.48,0.47,9.48M,0.00%
2010-01-20,0.48,0.47,0.48,0.47,21.82M,2.13%
2010-01-21,0.49,0.48,0.49,0.48,22.76M,2.08%
2010-01-22,0.49,0.49,0.5,0.49,70.85M,0.00%
2010-01-23,0.49,0.49,0.5,0.49,70.85M,0.00%
2010-01-24,0.49,0.49,0.5,0.49,70.85M,0.00%
2010-01-25,0.48,0.49,0.49,0.48,15.68M,-2.04%
2010-01-26,0.47,0.48,0.48,0.47,13.86M,-2.08%
2010-01-27,0.46,0.47,0.47,0.45,33.03M,-2.13%
2010-01-28,0.46,0.46,0.46,0.46,25.79M,0.00%
2010-01-29,0.46,0.46,0.46,0.45,31.30M,0.00%
2010-01-30,0.46,0.46,0.46,0.45,31.30M,0.00%
2010-01-31,0.46,0.46,0.46,0.45,31.30M,0.00%
2010-02-01,0.46,0.46,0.46,0.45,31.30M,0.00%
2010-02-02,0.46,0.47,0.48,0.46,11.46M,0.00%
2010-02-03,0.48,0.46,0.48,0.46,27.61M,4.35%
2010-02-04,0.47,0.48,0.48,0.47,30.02M,-2.08%
2010-02-05,0.46,0.47,0.47,0.46,15.67M,-2.13%
2010-02-06,0.46,0.47,0.47,0.46,15.67M,-2.13%
2010-02-07,0.46,0.47,0.47,0.46,15.67M,-2.13%
2010-02-08,0.46,0.46,0.47,0.46,35.75M,0.00%
2010-02-09,0.47,0.46,0.47,0.46,21.98M,2.17%
2010-02-10,0.46,0.47,0.47,0.46,21.61M,-2.13%
2010-02-11,0.45,0.46,0.46,0.44,21.83M,-2.17%
2010-02-12,0.45,0.45,0.45,0.45,21.07M,0.00%
2010-02-13,0.45,0.45,0.45,0.45,21.07M,0.00%
2010-02-14,0.45,0.45,0.45,0.45,21.07M,0.00%
2010-02-15,0.45,0.45,0.45,0.45,21.07M,0.00%
2010-02-16,0.45,0.45,0.45,0.45,21.07M,0.00%
2010-02-17,0.47,0.45,0.47,0.45,14.34M,4.44%
2010-02-18,0.47,0.47,0.47,0.46,25.82M,0.00%
2010-02-19,0.46,0.47,0.47,0.46,13.52M,-2.13%
2010-02-20,0.46,0.47,0.47,0.46,13.52M,-2.13%
2010-02-21,0.46,0.47,0.47,0.46,13.52M,-2.13%
2010-02-22,0.47,0.47,0.47,0.47,39.67M,2.17%
2010-02-23,0.47,0.47,0.47,0.47,16.12M,0.00%
2010-02-24,0.47,0.47,0.47,0.46,25.90M,0.00%
2010-02-25,0.47,0.47,0.47,0.47,14.36M,0.00%
2010-02-26,0.47,0.47,0.47,0.47,14.36M,0.00%
2010-02-27,0.47,0.47,0.47,0.47,14.36M,0.00%
2010-02-28,0.47,0.47,0.47,0.47,14.36M,0.00%
2010-03-01,0.47,0.47,0.48,0.47,24.27M,0.00%
2010-03-02,0.48,0.47,0.48,0.47,5.08M,2.13%
2010-03-03,0.48,0.48,0.48,0.48,21.44M,0.00%
2010-03-04,0.48,0.48,0.48,0.48,15.91M,0.00%
2010-03-05,0.5,0.48,0.5,0.48,22.91M,4.17%
2010-03-06,0.5,0.48,0.5,0.48,22.91M,4.17%
2010-03-07,0.5,0.48,0.5,0.48,22.91M,4.17%
2010-03-08,0.51,0.5,0.51,0.5,41.88M,2.00%
